Armazém de Dados,,,,,,,
,,,,,,,
"Quadro 351 - Patrimônio histórico, artístico e cultural - bens tombados, por localização e esferas de governo, segundo as Regiões Administrativas e Bairros - 2004",,,,,,,
,,,,,,,
Regiões,,,, Esfera de Governo,,,
Administrativas,Bairros,Identificação,Localização,Nac.,Est.,Mun.,
,,Acervo do Museu do Inconsciente,"R. Ramiro Magalhães, 521",,,*,
,,Oficinas de Trajano,"Av. Suburbana, 5.913 e R.J. dos Reis, 11.160",,,*,
,,,,,,,
,Riachuelo,Fortim Caetano Madeira,"R. Luís Zanchetta, 48",*,,,
,,,,,,,
,Engenho Novo,Cinema Santa Alice,"R. Barão Bom Retiro, 1.095",,,*,
,,E.M. Sarmiento,"R. 24 de Maio, 931",,,*,
,,,,,,,
,Méier,Coreto,Jardim do Méier,,*,,
XIV Irajá,,2,,-,-,2,
,Vila da Penha,E.M. Grécia,"Av. Brás de Pina, 1.614",,,*,
,,Matriz de N.S. da Apresentação,"Pça N.S. da Apresentação, 272",,,*,
XV Madureira,,6,,-,2,4,
,Quintino Bocaiúva,Coreto,Praça de Quintino,,*,,
,,Imóvel,"R. Góias, 990",,,*,
,,,,,,,
,Marechal Hermes,Teatro Armando Gonzaga (edifício),"Av. Gal. Oswaldo Cordeiro de Farias, 511",,*,,
,,Estação Ferroviária,R. João Vicente e R. Carolina Machado,,,*,
,,E.M. Santos Dumont,"Praça XV de Novembro, 29",,,*,
,,,,,,,
,Madureira,Igreja do Santo Sepulcro,"R. Sanatório, 310",,,*,
XVI Jacarepaguá,,19,,4,12,3,
,Jacarepaguá,Morro Dois Irmãos,Serra da Pedra Branca,,*,,
,,Capela de São Gonçalo do Amarante,"Estr. do Camorim, 925",,*,,
,,Fortaleza de Jacarepaguá (ruínas),Estr. Graj.-Jacarep.- Rest. Cabana da Serra - F,,*,,
,,Morro,Área entre a RJ-75 e o Canal do Marinho,,*,,
,,Obras de Arthur Bispo do Rosário,"Estr. Rod. Caldas, 3.400 (Col.Juliano Moreira)",,*,,
,,Aqueduto da Colônia dos Psicopatas,"Estr. Rod. Caldas, 3.400 (Col.Juliano Moreira)",*,,,
,,Igreja de N.S. dos Remédios,"Estr. Rod. Caldas, 3.400 (Col. Juliano Moreira)",,*,,
,,Educandário N.S. da Vitória,"R. Cândido Benício, 2.610 ",,,*,
,,Cine - Teatro Baronesa,"R. Cândido Benício, 1.757 - B",,,*,
,,Colônia Juliano Moreira,"Estrada Rodrigues Caldas, 3400",,*,,
,,,,,,,
,Anil,Pedra da Panela,Estr. da Pedra da Panela,,*,,
,,,,,,,
,Gardênia Azul,Casa da Fazenda Engenho D'Água,"Av. Ten. Cel. Muniz Aragão, 3.479 (antiga Estr. do Capão)",,,,
,,,                                                  ,*,,,
,Freguesia,Igreja de N.S. da Pena,"R. N. S. da Pena, s/nº",*, ,,
, ,Fazenda Catramby,Área compreendida entre as Estradas  ,, ,,
, ,,"do Gabinal, Jacarepaguá, Caribu",,,,
,,,e Av. Ten. Cel. Muniz Aragão,,,*,
,,,,,,,
,Taquara,Casa da Faz. da Taquara e Cap. de N.S.,,,,,
,,dos Remédios e da Exaltação de Santa Cruz,"Estr. Rodrigues Caldas, 780",*,,,
,,,,,,,
,Praça Seca,Coreto,Praça Barão de Taquara,,*,,
,,Estátua: Diana de Gabies (cópia da antigüidade),"Praça Seca, s/nº ",,*,,
XVII Bangu,,15,,2,3,10,
,Vila Militar,Sabre de Honra do General Osório,"Av. Duque de Caxias, s/nº",*,,,
,,,,,,,
,Realengo,Coreto,Campo de Marte,,*,,
,,Igreja de N.S. da Conceição,"Praça Padre Miguel, 1.125",,,*,
,,Casa Sede,R. do Governo,,,*,
,,Fábrica de Cartuchos do Exército,"Rua Bernardo de Vasconcelos, 941",,,*,
,,Cine-Teatro Realengo,"R. General Sezefredo, 152 ",,,*,
,,,,,,,
,Bangu,E.M. Getúlio Vargas ,"Avenida Santa Cruz, 4.725",,,*,
,,Palmeira Babaçu,"R. Silva Cardoso, em frente ao nº 120",,,*,
,,Estádio Proletário Guilherme da Silveira,"Ruas Sul América, Istambul, Figueiredo Camargo",,,*,
,,,e Sidney,,,,
,,Palmeiras Imperiais da Fábrica Bangu,Av. Santa Cruz ,,,*,
,,,,,,,
,,Bangu Atlético Clube (sede),"Av. Cônego de Vasconcelos, 549",,*,,
,,Igreja de S. Sebastião e S. Cecília,"Praça da Fé, s/nº",,*,,
,,"Conj. formado pelas Serras de Madureira, ",,,,,
,,do Mendanha e Pqe. Est. da Pedra Branca,,*,,,
,,Fábrica Bangu - Companhia Progresso Industrial do Brasil,"R. Fonseca, 240 ",,,*,
,,Tamareiras centenárias,R. da Chita  ,,,*,
,,,,,,,
,Senador Camará,Casa da Fazenda do Viegas,"R. Marmiari, 221",,,,
XVIII Campo Grande,,10,,-,2,8,
,Campo Grande,Cine Palácio Campo Grande ,"R. Augusto Vasconcelos, 139",,,*,
,,Bica de Água,Praça Mário Valadares,,,*,
,,Igreja de São Pedro,"Av. Santa Cruz, 11.664 ",,,*,
,,Fábrica Aleixo Gari,Largo do Monteiro,,,*,
,,Coreto,Praça Mário Valadares,,,*,
,,Igreja N.S. do Desterro,"Praça Dom João Esberard, 141",,,*,
,,"Conj. formado pelas Serras de Madureira, do",,,,,
,,Mendanha e Pq. Est. da Pedra Branca,,,*,,
,,Fonte Wallace modelo mural,Pça. Dom João Esberard ,,,*,
,,Antiga estação de bondes,Largo do Monteiro ,,,*,
,,Reservatório Vitor Konder (1927),"R. Aratanha, 1150 ",,*,,
XIX  Santa Cruz,,13,,2,2,9,
,Santa Cruz,Marco da Fazenda Real de Santa Cruz,"Av. Cesário de Melo, km 34",*,,,
,,Ponte dos Jesuítas,"Estr. do Cortume, s/nº",*,,,
,,Matadouro Público de Santa Cruz (prédio),"R. das Palmeiras, s/nº",,,*,
,,Marco 6,Av. Santa Cruz ,,,*,
,,Marco 7 ,Estrada da Olaria Velha,,,*,
,,Marco 11 ,R. Felipe Cardoso ,,,*,
,,Fonte Wallace modelo mural,Pça. Dom Romualdo ,,,*,
,,Antiga Est. F. do Matadouro de Santa Cruz,Km 56426 do Ramal Ferroviário da Central do Brasil,,,*,
,,Hangar do Zepellin,"Av. do Império, s/nº",,,*,
,,Palacete de Santa Cruz,"R. das Palmeiras, s/nº ",,,*,
,,Renque de Palmeiras Imperiais,Av. Santa Cruz em frente à Fábrica Bangu,,,*,
,,,,,,,
,Sepetiba,Coreto,Praça Washington Luís,,*,,
,,Ilha do Frade - Ponte do Picão - Saco dos Meros,,,*,,
XX Ilha do Governador ,,4,,1,1,2,
,Freguesia,Igreja Matriz de N.S. da Ajuda,Pça. Calcutá,*,,,
,,C.M.S Necker Pinto e pinturas,,,,,
,,de Gutman Bicho,"Av. Paranapuan, 435", ,,*,
,,,,,,,
,Jardim Guanabara,Igreja de N.S. da Conceição,"Praça Jerusalém, s/nº",,*,,
,,,,,,,
,Cidade Universitária,Igreja do Bom Jesus,Cidade Universitária,,,*,
XXI Paquetá,,28,,3,15,10,
,Paquetá,Ilha de Paquetá,Ilha de Paquetá,,,*,
,,Solar de D. João VI,"R. Príncipe Regente, s/nº",*,,,
,,Ilha de Brocoió,Ilha de Brocoió,,*,,
,,Árvore Mangueira,"R. Frei Leopoldo, esq. R. Manoel Macedo, 87",,*,,
,,Árvore Algodoeiro,Praia das Gaivotas,,*,,
,,Árvore Tamarineira,"Praia das Gaivotas, em frente ao nº 258",,*,,
,,Árvore Mangueira,R. Guedes de Carvalho,,*,,
,,Casa de José Bonifácio,"Praia José Bonifácio, 119",*,,,
,,Árvore Tamarineira,"Praia José Bonifácio, 221",,*,,
,,Árvore Mangueira,"R. Padre Juvenal, em frente ao nº 44",,*,,
,,Coreto,Praça São Roque,,*,,
,,Árvore Amendoeira,Praia dos Tamoios esq. Ladeira do Vicente,,*,,
,,Árvore Boabá Maria Gorda,"Praia dos Tamoios, em frente ao nº 125",,*,,
,,Árvore Mangueira,"R. Tomás Cerqueira, em frente ao nº 73",,*,,
,,E.M. Pedro Bruno,"R. Padre Juvenal, 74",,,*,
,,Pedra da Moreninha ,Praia da Moreninha,,*,,
,,Pedra dos Namorados,Ponta das Pedreiras,,*,,
,,Árvore Jaqueira,R. Guedes de Carvalho em frente ao nº 199,,*,,
,,Cemitério Municipal Santa Luíza,R. Manoel de Macedo,,,*,
,,Chalé,"Praia das Gaivotas, 44 ",,,*,
,,Conjunto Arquitetônico,"R. Pedre Juvenal, 4 ",,,*,
,,Igreja de Bom Jesus do Monte,"Praia dos Tamoios, 45 ",,,*,
,,Igreja de São Roque,Praia de São Roque,,,*,
,,Parque Darke de Matos,Praia José Bonifácio,,,*,
,,Parque dos Tamoios,Praia dos Tamoios,,,*,
,,Praia de Paquetá,Ilha de Paquetá,*,,,
,,Relógio do Clube de Funcionários da Mesbla,Praia das Gaivotas em frente ao nº 796,,,*,
,,Reservatório de Paquetá (1908),R. Alambari Luz ,,*,,
XXIII Santa Teresa,,21,,3,5,13,
,Santa Teresa,Bondes de Santa Teresa,Linhas Dois Irmãos e Paula Matos,,*,,
,,Casa de Composição Assimétrica,"R. Hermenegildo de Barros, 158",,,*,
,,Igreja Ortodoxa Santa Zinaida,"R. Monte Alegre, 210",,,*,
,,Museu Casa de Benjamin Constant,"R. Monte Alegre, 255",*,,,
,,Casa de Chácara,"R. Monte Alegre, 313",,*,,
,,Museu Chácara do Céu,"R. Murtinho Nobre, 93",*,,,
,,Igreja e Convento de Santa Teresa,"Lad. de Santa Teresa, 52",*,,,
,,Pavimentação em Pé-de-Moleque,R. Santo Alfredo,,,*,
,,Sobrado com Porão Alto,"R. Terezina, 12/14",,,*,
,,Amurada da pedra da R. Aprazível,R. Aprazível entre o 141 e R. F. de Castro,,,*,
,,Calçamento em Pé-de-Moleque,Travessa Xavier dos Passos,,,*,
,,Pavimentação em Pé-de-Moleque,Ladeira do Viana,,,*,
,,Castelo ,"R. Almte. Alexandrino, 4.098",,,*,
,,Castelo Valentim,"R. Almte. Alexandrino, 1.405 ",,,*,
,,Escola Thomaz Aquino,"R. Paschoal Carlos Magno, 73",,,*,
,,Chafariz e estátuas (2): Jovens Pajens,"R. Fonseca Guimarães, 55 ",,,*,
,,Caixa da Mãe d'água (1744) e Reservatório ,,,,,
,,da Carioca (1865),"R. Almirante Alexandrino, 5440",,*,,
,,Casa de Chácara,"R. Monte Alegre, 313 ",,*,,
,,Imóvel,"R. Visconde de Paranaguá, 14 e 16 ",,,*,
,,Monumento ao Cristo Redentor,Morro de Corcovado,,,*,
,,Reservatório do França (1883),Largo do França ,,*,,
XXIV Barra da Tijuca ,,23,,-,17,6,
,Barra da Tijuca,Pq. Zoobotânico de Marapendi (Margens ,,,,,
,,Sul e Norte da Lagoa de Marapendi,"Av. das Américas, s/nº",,,*,
,,Pedra do Itaúna,Reserva Biol. de Jacarepaguá,,*,,
,,Barraca do Pepê,Av. do Pepê,,,*,
,,Parque Arruda Câmara,,,,*,
,,Quiosque Oxumaré,"Av. do Pepê, 10 / B ",,,*,
,,,,,,,
,Camorim,Morro do Cantagalo,Reserva Biol. de Jacarepaguá,,*,,
,,,,,,,
,Vargem Grande,Igreja de S. Gonçalo do Amarante,"Estrada do Camorim, 925 ",,*,,
,,,,,,,
,Vargem Pequena,Cap. de N.S. do Monteserrate (ant. do Pilar),"Estr. Bandeirantes, 16.064 - Estr. da Capela",,*,,
,,,,,,,
,R.dos Bandeirantes,Casa do Pontal e Coleção de Arte Popular,"Estr. do Pontal, 3.295",,,*,
,,Morro do Amorim,Reserva Biol. de Jacarepaguá,,*,,
,,Morro do Portelo,Reserva Biol. de Jacarepaguá,,*,,
,,Morro do Urubu,Reserva Biol. de Jacarepaguá,,*,,
,,Pontal de Sernambetiba,Reserva Biol. de Jacarepaguá,,*,,
,,Pedra de Itapuã,Reserva Biol. de Jacarepaguá,,*,,
,,Morro do Rangel,Reserva Biol. de Jacarepaguá,,*,,
,,Margens Norte e Sul da Lagoa  ,,,,,
,,de Marapendi,Reserva Biol. de Jacarepaguá,,*,,
,,"Área Entre os Morros Portelo, Amorim,",,,,,
,,Urubu e Cantagalo,Reserva Biol. de Jacarepaguá,,*,,
,,"Canais do Portelo, Cortado e Marinho",Reserva Biol. de Jacarepaguá,,*,,
,,Pedra da Panela,Reserva Biol. de Jacarepaguá,,*,,
,,Morro Dois Irmãos,Reserva Biol. de Jacarepaguá,,*,,
,,Pedra da Baleia,Reserva Biol. de Jacarepaguá,,*,,
,,,,,,,
,Grumari,Praia de Grumari,Praia de Grumari,,*,*,
XXVI Guaratiba,,5,,2,3,-,
,Guaratiba,Igreja Matriz de São Salvador do Mundo,"Estr. da Matriz, 6.496",*,,,
,,"Conjunto formado pelas serras da Madureira, do",,,,,
,,"Mendanha, e Parque Estadual da Pedra Branca",,,*,,
,,,,,,,
,Barra de Guaratiba,Sítio Santo Antônio da Bica,"Estr. da Barra de Guaratiba, 2.190",,*,,
,,"I.do Frade, Pte. do Picão e Saco dos Meros",Ilha do Frade,,*,,
,,,,,,,
,Pedra de Guaratiba,Igreja de N.S. do Desterro,"R. Barros de Alarcão, 1.305",*,,,
,,,,,,,
XXVII Rocinha,,1,,-,-,1,
,Rocinha,Casa de Cultura da Rocinha,"Estrada da Gávea, 259 / Rua 1 / 60 - Casa 2 ",,,*,
,,,,,,,
Fonte: Secretaria Municipal de Cultura e Arquidiocese de São Sebastião do Rio de Janeiro.,,,,,,,
Instituto Estadual do Patrimônio Cultural - INEPAC.,,,,,,,
,,,,,,,
Nota: A diferença observada entre o número total de bens tombados e o somatório por Esferas de Governo deve-se ao fato de alguns bens ,,,,,,,
serem tombados em mais de uma esfera. Não estão relacionados os bens tombados em caráter provisório.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
